rank,cluster_id,question,noun_form
1,8,채용공고 상의 수행 직무 및 본인이 희망하는 관심 직무와 관련하여 전문가가 되기 위한 노력(프로젝트 경험 등)을 구체적으로 기술하시오.,채용공고 수행 직무 본인 희망 관심 직무 관련 전문가 되기 노력 구체적 기술하
2,8,(선택) 빅데이터 관련 역량을 개발하기 위해 수행한 노력을 본인의 경험 및 경력을 기반으로 기술하시오.,선택 빅데이터 역량 개발하기 수행한 노력 본인 경험 경력 기반 기술하
3,8,우리 회사에 지원하는 이유와 해당 직무에 지원하는 이유에 대해 각각 서술하여 주십시오.,우리 회사 지원 이유 해당 직무 지원 이유 대해 각각 서술
4,8,"역량 또는 경력 추가 기술 (양식, 분량 자유)",역량 경력 기술
5,8,본인이 지원한 직무와 관련한 경험 중 성공했거나 실패했던 사례가 있다면 기재해 주세요.,본인 지원한 직무 관련한 경험 성공했거 실패했던 사례 있다면 기재해
6,8,"지원 직무와 관련하여 어떠한 역량을(지식/기술 등) 강점으로 가지고 있는지, 그 역량을 갖추기 위해 무슨 노력과 경험을 했는지 구체적으로 작성해 주시기 바랍니다.",지원 직무 관련 어떠한 역량 강점 가지고 있는지 역량 갖추기 무슨 노력 경험 했는지 구체적 작성해 주시기 바랍니다
7,8,본인이 지원하는 직무에 있어 다른 지원자와는 차별화된 역량 및 그와 관련된 경험 혹은 경력을 기술하여 주십시오.,본인 지원 직무 있어 다른 지원자와 차별화된 역량 관련된 경험 경력 기술
8,8,"해당 직무에 지원하신 이유, 본인이 적합하다고 판단하는 근거, 관련 산출물 등을 작성해 주세요.",해당 직무 지원하신 이유 본인 적합하다고 판단 근거 산출물 작성해
9,8,본인이 지원한 직무에서 입사 후 어떠한 업무를 하고 싶은지 작성해 주세요.,본인 지원한 직무 입사 어떠한 업무 싶은지 작성해
10,8,지원 직무를 성공적으로 수행하기 위해 가장 중요하다고 생각하는 역량이 무엇인지 제시한 후 그 역량을 갖추기 위해 본인이 노력한 사례를 기술해 주시기 바랍니다.,지원 직무 성공적 수행하기 가장 중요하다고 생각 역량 무엇인지 제시한 역량 갖추기 본인 노력한 사례 기술해 주시기 바랍니다
11,8,"희망 직무에 대해 본인이 이해한 내용을 서술하고, 본인이 해당 직무에 적합한 사유(전공능력, 경력 등)를 구체적으로 기술하시오.",희망 직무 대해 본인 이해한 내용 서술 본인 해당 직무 적합한 사유 구체적 기술하
12,8,"지원한 직무와 관련된 본인의 활동, 경험 및 성과 등을 설명하고, 해당 경험이 희망 직무 수행 시 어떻게 활용될 수 있는지 기술해 주십시오. (800자 이내)",지원한 직무 관련된 본인 활동 경험 설명 해당 경험 희망 직무 수행 어떻게 활용될 있는지 기술해
13,8,KT 및 해당 직무에 지원한 동기와 KT 입사 후 해당 직무의 전문가로 성장하기 위해 어떠한 노력을 할지 구체적으로 기술해 주십시오. (최대 500자 입력 가능),KT 해당 직무 지원한 동기 KT 입사 해당 직무 전문가 성장하기 어떠한 노력 할지 구체적 기술해
