idx,answer
0,"8반 엄마좋은점 1

주어진 일에 대한 책임감이 강한 저는 고등학교 2학년 때 학급회장과 체육부장을 맡으면서 체육대회나 연극제, 자치활동에서 책임감 있게 반 분위기를 주도하곤 했습니다.

또 학급을 대상으로 카카오톡에서 단체 방을 운영하여 학우들이 과제나 준비물을 미리미리 준비할 수 있도록 도와주었고 시험 기간에는 과목별 요점정리를 해서 공유하기도 했습니다. 친구들은 그런 저를 8반 엄마라는 별명으로 부르면서 격려, 응원해주었습니다아쉬운점 1."
1,"작년 가을에 저는 OOO 공장에서 아르바이트했었습니다. 명절이 되면 제품에 대한 수요가 증가했습니다. 첫날 아르바이트에는 많은 인원이 참여했는데도 목표 생산량은 터무니없이 많았습니다. 저는 관행적으로 내려오던 방식을 개선하기 위해 분석을 시작했습니다. 아쉬운점 1

저는 포장작업을 하면서 시간 지연이 되게 하는 요인을 분석했습니다. 요인을 분석해본 결과 수세미와 포장 틀의 마찰 때문에 잘?들어가지 않았고 포장틀이 잘 구부러져서 포장지를 씌우기 어려운 것이 문제였습니다.

저는 포장작업에서 문제가 되는 요인을 관찰, 분석한 뒤 마찰이 발생하는 부위에 유리테이프를 붙이고 포장 틀을 단단한 보드지로 바꾸어 정전기를 방지하자고 제안하였습니다. 처음에 받아들여지지 않았지만 직접 작업과정을 관리자분께 설명하여 변화를 가져올 수 있었습니다.

그 후 현장에서 이를 받아들여 모든 생산 라인에 조치를 취하였고, 이후 제품이 밀리지 않고 빠르게 포장이 될 뿐 아니라 생산 효율도 2% 정도 증가하였습니다. 이러한 변화는 순조로운 생산과정으로 이어졌습니다. 그 결과 그날 저의 개선안으로 목표 물량을 맞출 수 있었습니다.아쉬운점 2"
2,"""부족함은 채워나가는 것""

Field Engineer가 공정에 대한 이해는 문제해결에 가장 중요한 역량입니다. 학부 시절 반도체에 대한 강의를 수강하지 못하여 KOCW를 통해 반도체 기본 지식을 함양하려 노력하였습니다. 또한, 공정에 대해 이해하기 위해 인터넷을 찾아보며 지식을 쌓아갔습니다.

병역특례를 하며 설비유지보수를 하며 설비유지보수에 대한 기본을 함양하였습니다. Soldering Wave 설비를 항상 최상의 상태를 유지하기 위해 설비의 메뉴얼을 보며 숙지하였습니다. 배운 적 없는 메뉴얼을 보며 유지, 보수 및 수리를 하기가 힘들었지만, 부품 하나하나를 찾아보며 문제를 해결해나가는 과정이 즐거웠습니다. 이후엔 저만의 메뉴얼을 작성하여 유지, 보수하기에 한층 더 쉽게 만들었습니다. 또한, 병역특례를 하며 3년이라는 짧은 기간 동안 조직 활동에 필요한 소통, 팀워크 능력을 갖출 수 있었습니다. 업무를 하며 돌발상황을 수차례 경험하며 이에 필요한 대처능력 또한 갖추게 되었습니다."
3,"저는 평소 자동차의 연비에 관련된 기술에 대해 관심을 가지고 있습니다. 현재 세계적으로 에너지에 관련하여 항상 이슈화 되고 있습니다. 자동차의 핵심 연료인 석유의 양이 제한적이다 보니 최대한 적게 사용하는 것은 정말 중요한 사항입니다.

카타르 모터쇼에서 **** 사에서 탄소섬유를 이용해 차체를 제작하여 연비 100km/l를 넘겼다는 기사를 읽은 적이 있습니다. 차체를 최대한 가볍게 하여 연비를 올린 케이스인데 탄소섬유 자체가 굉장히 값비싼 소재이기 때문에 상용화되기는 많이 힘들지만 이 분야 기술이 더 많이 개발되면 100km/l의 연비를 가진 자동차를 실생활에서 보는 것은 꿈은 아닐 것이라 생각합니다.

현대 다이모스에서 생산하고 있는 변속기 역시 이 부분에 굉장히 중요한 역할을 합니다. 현대 다이모스에서 일하며 최고의 변속기를 만드는 과정에 일조하여 연비 높은 자동차를 꿈꾸어 보고 싶습니다."
4,"[현장 업무를 위한 밑거름]
앞서 말씀드린 다양한 아르바이트 외에 다양한 현장 경험이 저의 강점 중 하나입니다. 특히 군 복무 시절 맡았던 감독병 업무 경험은 제가 건설업의 길로 결정하게 해 준 결정적인 경험이었습니다.

군 복무 시절을 미래에 도움이 될 만한 경험을 쌓는 시간으로 만들고 싶었습니다. 다사다난한 과정을 거쳐 감독병을 할 수 있게 되었습니다. 조기 기상을 하며 이른 아침 현장에 투입되어 현장 사람들과 인사를 하고 새로 들어온 자재를 확인하며 일과를 시작하였습니다.

이때 공사와 관련된 다양한 일을 해보았습니다. 공사 서류를 작성하고 공정을 관리하며, 공정에 따른 인력도 관리하였습니다. 때로는 용역 팀이 약속을 지키지 않아 공정이 늦어지고 계속 전화를 걸어 독촉하는 일도 있었고, 경험 많은 아저씨들이 안전 관리 규칙을 지키지 않아 애를 먹은 적도 있습니다.

하지만 이러한 어려움 속에서도 건물이 조금씩 완성되어가는 것을 매일 보면서 신기하면서도 뿌듯함을 느꼈습니다. 특히 사용승인까지 마치고 건물에 불이 들어오고 따뜻한 난방 필름이 깔린 바닥의 온기를 느끼며 행복해하는 사용자들을 보았을 때 건설활동의 보람을 느꼈고 제가 했던 활동들에 대하여 매력을 느꼈습니다.

이때의 경험 이후로 건축 시공의 길을 걷기로 마음먹었고 제 약점인 학과의 불리함을 형틀목공 팀 일용직, 집짓기 봉사활동을 통해 현장에서 건설 활동을 직접 체험해 봄으로써 극복하려고 노력하였습니다. 이러한 경험들은 제가 앞으로 롯데건설에서 현장을 배치 받고 첫 현장 경험을 할 때 큰 도움을 줄 것이라 생각합니다."
5,"""10개의 오류가 만드는 하나의 완성품""

학부 시절 라즈베리파이와 C언어 설계를 통해 ""스마트 CCTV""를 제작한 경험이 있습니다. 사람이 24시간 CCTV를 관제하는 것은 비효율적이기 때문에 위험 상황을 스스로 판단하여 관리자에게 알려주고, 영상을 녹화하는 기능을 구현했습니다.
우선, 라즈베리파이와 카메라를 연결시킨 후 open CV를 사용해 영상처리를 합니다. 물체가 접근하면 영상처리 결과를 메인 서버에 알리고 영상을 보내옵니다. 저는 이 과정에서 라즈베리파이와 메인 서버간의 소켓 통신을 맡아서 C언어로 이를 구현하는 역할을 맡았습니다.좋은점 1

라즈베리파이를 클라이언트로, 팀원의 노트북을 서버로 두고 설계를 진행했고 TCP/IP 프로토콜을 사용했습니다. 무선랜(WIFI)를 사용했고, 영상 스트리밍에는 gstreamer를 사용했습니다. 서버와 클라이언트를 연결하는 것까지는 성공했으나 영상 스트리밍 시에 문제가 있었습니다. 2~3초 정도 짧게 화면이 출력된 후 메모리 관련 오류와 함께 프로그램이 멈추는 것이었습니다. 문제를 해결하기 위해 도서관에서 open CV와 gstreamer에 관한 책을 찾아보았고, 함께 공부하는 사람들에게 조언을 얻기도 했습니다. 노력한 결과 프레임을 가져오는 while 문에서 영상을 가져오기만 하고 release를 시켜주지 않았다는 것을 알았습니다. 이로 인해 메모리 부족이 일어났고 프로그램이 종료 된 것이었습니다. 이후 변수를 release 시켜줌으로써 메모리 부족 문제를 해결할 수 있었습니다.좋은점 2

업무를 하다 보면 개발 과정에서 성공보다 에러 발생율이 더 많을 것이라 생각합니다. 회사의 이전 개발 문서를 꼼꼼히 읽고 파악하여 이러한 오류를 바로 잡고, 선배들의 말씀을 금보다 귀하게 들으며 발전하는 신입사원이 되겠습니다. 아쉬운점 1"
6,"셀트리온헬스케어의 인재상인 '창의성', '원칙 준수', '도전정신', '세계 제일주의'에 크게 공감하며, 그 이념이 반영된 회사의 미래를 구상하게 되었습니다. 이러한 가치를 바탕으로 IT 보안 분야에서 차별화된 전략을 제시하고, 원칙에 따라 엄격하게 업무를 수행하며, 지속적인 도전을 통해 IT 보안 기술의 선진화에 기여하고자 합니다.
제가 이루고 싶은 목표는 셀트리온헬스케어의 IT 보안 체계를 세계 최고 수준으로 끌어올리는 것입니다. 이 목표를 향한 첫걸음으로, 정보 보안 전문가로서의 기본 역량을 끊임없이 향상시키려 합니다. 최신 보안 트렌드와 위협을 이해하고, 이를 적극적으로 도입하여 기업의 정보자산을 보호하는 데 주력할 것입니다.

더 나아가, 셀트리온헬스케어의 IT 보안 전략을 세계적인 수준으로 확장하기 위해, 글로벌 보안 기준 및 규정을 연구하고 이를 기업 내부에 적용하겠습니다. IT 보안 분야의 세계적인 동향을 이해하고 이를 통해 기업의 정보 보안을 한 단계 업그레이드하는 것이 최종 목표입니다."
7,"[독창적 기술 전문성]
열린 사고를 갖는 것이 필요하다고 생각하여 다수의 공모전에 도전하였습니다. 실제로 안전성을 향상한 사다리를 기획하였습니다. 

경사진 곳에서 사다리 배치 문제에 인한 낙마 사고 발생을 막고자 높낮이 조절이 가능하고 밑판의 각도조절이 가능하게끔 사다리를 설계하였습니다. 그리고 Wi-Fi 수신 범위 확장을 위한 증폭기를 기획하였고, 심사위원으로부터 B2B와 B2C에의 응용 가능성을 확인할 수 있었습니다. 

이처럼 공모전을 통해서 어떤 일이든 할 수 있다는 자신감과 융·복합적인 관점을 갖게 되었습니다."
8,"- 프로그래머로서의 일을 하고 싶습니다.
 3년 전 저는 친구들과 재미삼아 조그마한 서비스를 하나 기획했습니다. 수학 공부를 힘들어하는 학생들의 needs를 파악하여 수학질의응답 서비스입니다. 저는 기획과 관리를 도맡아서 했습니다. 비록 기초단계의 기획과 관리였지만 치밀함과 관리의 중요성을 배울 수 있었던 경험이었습니다. 저는 이 서비스를 기획하고 운영하면서 앞으로 ‘서비스’와 ‘솔루션’에 대한 일을 전문적으로 해보고 싶다는 의지가 생겼습니다.

 솔루션은 고객들의 요구를 파악하고 또 그에 따른 소프트웨어 및 하드웨어 기술을 제공하는 분야입니다. 저는 IT분야의 꽃은 솔루션분야라고 생각합니다. 공학도들에겐 기술로서 사람과 세상에 기여하는 것은 숙명과도 같은 일이라고 생각합니다."
9,"[나만의 기획으로 완성한 재능기부]
대학교 2학년 시절, 저는 대학생 금융경제봉사단 활동을 하였습니다. 당시 저는 봉사만 하면 된다는 생각으로 활동에 참가하였고, 금융경제에 대한 재능기부 위주의 커리큘럼을 작성하여 담당 선생님께 제출하였습니다. 하지만 이를 본 담당 선생님께서는 “너무 공부 위주의 수업만 진행되면 아이들이 쉽게 흥미를 잃어버린다”고 조언해주셨습니다.

이에 저는 다른 방법을 생각하게 되었습니다. 저에게 주어진 시간은 16주에 불과했고, 기간 동안 아이들과 친해진 후 금융경제교육을 이수하는 것은 불가능했습니다. 그래서 저는 특기를 살려 금융교육에 체육활동을 추가하였습니다. 그 결과, 시간이 흐를수록 아이들은 제가 기획한 프로그램에 흥미를 느꼈고 저 또한 참된 봉사의 의미를 느낄 수 있었습니다.

시작은 혼란스러웠습니다. 그러나 저만의 프로그램 기획으로 16주 프로그램을 이수하였고, 저는 아이들과 활발한 유대관계를 형성하면서 이후에도 멘토 역할을 하였습니다."
