rank,cluster_id,question
1,1,"자신의 가치관 또는 인생관에 영향을 미친 경험을 소개하고, 이를 통해 배우거나 느낀 점을 구체적으로 기술하시오."
2,1,본인이 지원한 직무와 관련한 경험 중 성공했거나 실패했던 사례가 있다면 기재해 주세요.
3,1,인생을 살아가면서 가장 중요하다고 생각하는 가치가 있다면 본인의 경험을 토대로 그 이유에 대해서 기재해 주세요.
4,1,기존과 다른 새로운 변화를 시도했던 경험과 그를 통해 배운 점이 무엇인지 기술하여 주십시오.
5,1,포기하지 않고 끈기 있게 노력하여 목표를 달성했던 사례 또는 탁월한 성과를 달성한 사례에 대해 구체적으로 작성해 주십시오.
6,1,[업무추진계획] 한 번에 여러 목표를 달성하기 위해 세웠던 계획 방법에 대해 기술하고 어떤 결과를 도출하였는지 기술해 주십시오.
7,1,"본인이 살아오면서 가장 열정적 또는 헌신적으로 몰두했던 일(학업, 구직활동 제외)은 무엇이었는지 설명하고, 해당 경험이 입사 이후 업무 수행에 어떠한 도움이 될 수 있는지 기술해 주십시오."
8,1,"본인의 한계를 인식하고 이를 극복하기 위해 노력한 경험은 무엇이며, 해당 경험을 통해 깨달은 점은 무엇인지 기술해 주십시오."
9,1,"인생관이나 진로에 가장 큰 영향을 미친 요인을 자신의 경험에 비추어 소개하고, 그로 인해 자신이 어떻게 변화하였는지 기술하시오."
10,1,본인의 의지로 기존의 방식을 개선 및 변경했던 경험과 그 결과를 기술하여 주시고 그러한 경험을 통해 깨달은 점을 기술하여 주십시오.
11,1,본인만의 노하우 혹은 아이디어를 통해 좋은 결과를 이끌어낸 경험이 있다면 기술해 주십시오. (350~500자 이내)
12,1,윤리 및 도덕적 가치에 어긋나지 않기 위해 본인의 희생을 감수하며 과제를 수행한 경험에 대해 작성해 주십시오. (350~500자 이내)
13,1,주어진 과제나 업무를 위해 필요한 기술을 배우고 이를 적절히 활용하여 성공적으로 완수할 수 있었던 경험에 대해 구체적으로 기술해 주십시오. (500자 이내)
14,1,다양한 활동을 하면서 불편함을 감수하고 정해진 원칙·규칙을 철저히 지켰던 경험에 대해 기술해 주십시오. (500자 이내)
15,1,지금까지 경험한 것 중에서 자신의 영향력으로 주어진 상황을 달라지게 한 경험과 그 일의 결과에 대해서 서술하여 주십시오.
16,1,최근 3년 내 가장 어려웠던 도전은 무엇이었으며 그 경험을 통해 무엇을 배웠는지 기술해 주십시오.
17,1,"학업 이외의 활동에서 본인이 가장 열정적으로 도전했던 경험과 그 결과에 대해 소개하고, 해당 경험을 통해 얻은 교훈을 구체적으로 서술하시오. 697 / 700 자"
18,1,"프로그램 개발, 알고리즘 풀이 등 SW 개발 관련 경험 중 가장 어려웠던 경험과 해결 방안에 대해 구체적으로 서술하여 주시기 바랍니다."
19,1,"[자기통제력] 대인관계, 과도한 업무량, 고난과 외압 등의 스트레스가 주어져도 자기감정을 조절하며 업무를 수행하고 중심을 유지한다. (A, B 중 택 1) A. 자신이 스트레스 상황에서도 자신의 감정을 잘 다스리는 사람임을 입증할 수 있는 사례(경험)와 그 근거를 구체적으로 작성해 주시기 바랍니다. B. 최근 3년 이내 스트레스 상황에 효과적으로 대처했던 경험에 대해 구체적으로 작성해 주시기 바랍니다."
20,1,"[안전/위험관리] 위험이나 사고에 영향을 주는 상황들을 인식하고 사전에 이를 예방하기 위한 조치를 취한다. (A, B 중 택 1) A. 자신이 규정이나 기준을 잘 지키는 사람임을 입증할 수 있는 사례(경험)와 그 근거를 구체적으로 작성해 주시기 바랍니다. B. 최근 3년 이내 규정이나 기준을 지키기 어려운 상황임에도 불구하고, 그것을 지키기 위해 많은 노력을 기울였던 경험에 대해 구체적으로 작성해 주시기 바랍니다."
21,1,"본인이 성공적으로 수행한 프로젝트의 성공 요인이 무엇인지, 어려움을 극복하기 위해 어떤 방법을 사용했는지 기술해 주세요."
22,1,도전적인 목표에 도전한 경험(성공 혹은 실패)을 통해 무엇을 얻었는지 작성해 주세요.
23,1,본인이 경험한 일 또는 사건 중 가장 어려웠거나 힘들었던 사례와 극복과정을 기술해 주십시오.
24,1,실패에 대한 두려움을 극복하고 새로운 일에 도전하여 깨달음을 얻은 경험에 대해 기술해 주십시오.
25,1,어려운 환경이나 상황에 부딪혔을 때 이를 극복하기 위해 노력한 경험에 대하여 기술해 주시기 바랍니다.
