row_no,company,question_no,core_claim_display,core_claim_score,core_claim_reason,first_sentence,question
419,E1,4,✅,100,첫 문장에 핵심 주장 신호가 있습니다.,"“이력 관리를 통한 설비 가동률 향상”
비가동 이력 개소 개선 및 점검 Sheet 작성으로 비가동 재발 방지에 기여한 경험이 있습니다.","어떤 사안에 대해 사전에 고려해야 할 사항을 챙기며 문제를 해결해 본 경험을 작성해 보십시오 (최소 200자, 최대 550자 입력가능)"
1216,코오롱글로텍㈜,2,✅,100,첫 문장에 핵심 주장 신호가 있습니다.,"""경청과 공감, 그리고 설득력""

국내 최고 수준의 호텔인 OOOOOOOO에서 컨시어지 직무 수행 간 의사소통 역량을 발휘해 문제를 해결하고 목표를 달성한 경험이 있습니다.",나만의 One&Only (차별화된 강점)를 자유롭게 기술 바랍니다.
2158,(주)삼양홀딩스,2,✅,100,첫 문장에 핵심 주장 신호가 있습니다.,"""#공정 개선 경험 #능동적 태도, 문제 해결의 지름길""

삼양 그룹의 엔지니어가 되기 위해 다음과 같은 역량을 키웠습니다.",본인이 지원하는 직무에 있어 그 일을 잘할 수 있는 차별화된 역량 및 그와 관련된 경험을 3가지 이내로 기술해 주십시오.
233,GS리테일,4,✅,90,첫 문장에 핵심 주장 신호가 있습니다.,"""주도성과 책임감""
마케팅 대행사 사무보조로 근무하며 팀원들의 업무 과중을 덜기 위해 주도적으로 역할을 확장하고 성과를 달성해 본 경험이 있습니다.",서로에 대한 이해를 바탕으로 타인과 소통하고 협업했던 경험을 서술하여 주십시오.
237,㈜하나투어,3,✅,90,첫 문장에 핵심 주장 신호가 있습니다.,"""팀의 효율을 끌어올린 주도적인 소통과 업무 분담""
마케팅 대행사 사무보조로 근무하며 팀원들의 업무 과중을 덜기 위해 주도적으로 역할을 확장하고 성과를 달성해 본 경험이 있습니다.",공동의 목표달성을 위해 협업을 진행한 사례에 대하여 자신의 역할 과 기여 중심으로 서술해주세요. (800자)
252,SK하이닉스(주),3,✅,90,첫 문장에 핵심 주장 신호가 있습니다.,"“단위공정 이슈 해결 및 원인 분석”
양산/기술 엔지니어에게 가장 중요하다고 생각하는 역량은 맡은 단위공정이 이슈 발생 시 원인을 파악ㆍ분석하고 SOP를 개선함으로써 같은 ISSUE 재발생을 최소화하는 것이라고 생각합니다.",지원 분야와 관련하여 특정 영역의 전문성을 키우기 위해 꾸준히 노력한 경험에 대해 서술해 주십시오. (전문성의 구체적 영역(예. 통계 분석)/ 전문성을 높이기 위한 학습 과정/ 전문성 획득을 위해 투입한 시간 및 방법/ 습득한 지식 및 기술을 실전적으로 적용해 본 사례/ 전문성을 객관적으로 확인한 경험/ 전문성 향상을 위해 교류하고 있는 네트워크/ 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술) (700~1000 자 10 단락 이내)
54,한국무역보험공사,5,✅,70,첫 문장에 핵심 주장 신호가 있습니다.,"""혁신인""
문제의 원인에 대한 명확한 분석과 개선을 통해 미래의 문제 발생도 예방한 경험이 있습니다.","한국무역보험공사 인재상 4가지(전문인, 국제인, 혁신인, 윤리인) 중에서 본인과 가장 부합하는 인재상과 본인이 가장 보완할 필요가 있다고 판단하는 인재상은 무엇인지, 그 이유를 본인의 경험, 노력 등 구체적인 근거를 들어 기술해 주십시오."
57,한국은행,2,✅,70,첫 문장에 핵심 주장 신호가 있습니다.,문제의 원인에 대한 명확한 분석과 개선을 통해 미래의 문제 발생도 예방한 경험이 있습니다.,"한국은행에서 업무를 수행하기 위해 본인이 자신 있게 내세울 수 있는 역량은 무엇이며, 동 역량을 갖추기 위한 노력 과정과 동 역량이 한국은행의 어떠한 업무에 어떻게 기여할 수 있을지 기술하시오."
111,컬리,3,✅,70,첫 문장에 핵심 주장 신호가 있습니다.,"""절충안 및 솔선수범 자세를 통한 갈등 해결 과정""
교육학과 전공자와의 협업 활동에서 갈등 해결을 통한 혁신적 결과 도출 경험이 있습니다.","본인이 속한 집단 내에서 의견 충돌이나 갈등 경험을 소개하고, 해결 과정에 대해 기술하시오."
2,금융결제원,2,✅,50,첫 문장에 핵심 주장 신호가 있습니다.,"금융결제원이 제공하는 서비스는 매우 다양하며, 저는 개인적으로 금융공동망과 인터넷지로 서비스를 이용해 본 경험이 있습니다.",금융결제원이 제공하는 서비스를 이용해 본 경험과 느낀 점을 기술하시오.
14,㈜티웨이항공,3,✅,50,첫 문장에 핵심 주장 신호가 있습니다.,졸업 과제를 수행한 경험이 있습니다.,본인이 지원한 분야에서 그 일을 남들보다 잘할 수 있는 차별화된 능력과 경험이 무엇인지 서술하여 주시기 바랍니다.
